record_id,date,period,hospital_id,hospital_name,region,department,total_beds,operational_beds,occupied_beds_morning,admissions,discharges,transfers_in,transfers_out,emergency_arrivals,elective_surgeries,cancellations,staff_nurses,staff_doctors,avg_wait_time_min,median_wait_time_min,bed_turnover_time_hr,patients_left_without_seen,isolation_beds_used,source_system,notes
B2025_00001,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,40,39,37,11,10,0,2,37,0,0,10,5,112.7,75.3,5.1,2,1,HIS_A,
B2025_00002,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,28,28,30,5,8,2,1,0,0,0,16,4,74.7,54.6,7.5,0,0,BedBoard,
B2025_00003,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,74,72,70,12,15,3,2,2,0,0,13,3,79.9,53.6,4.8,0,4,HIS_B,
B2025_00004,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,49,45,9,8,1,1,1,19,2,10,2,69.9,58.7,5.3,0,2,HIS_B,
B2025_00005,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,38,33,2,2,4,2,1,0,1,5,3,68.2,43.8,4.8,0,0,HIS_B,
B2025_00006,2025-01-01,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,38,0,0,1,2,5,0,0,5,1,48.2,31.2,6.7,0,2,BedBoard,
B2025_00007,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,36,35,30,14,17,1,2,35,0,1,12,3,121.0,89.2,4.0,4,3,HIS_B,
B2025_00008,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,24,23,25,0,2,5,3,2,0,1,14,3,69.8,57.9,4.7,0,1,HIS_B,
B2025_00009,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,70,69,61,15,21,1,2,0,0,1,9,4,63.9,50.5,5.4,0,0,HIS_B,
B2025_00010,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,47,38,6,3,2,1,0,1,0,6,2,41.5,26.3,6.1,0,2,HIS_A,
B2025_00011,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,34,29,4,0,3,2,2,0,1,1,3,56.6,48.7,4.7,0,2,HIS_B,
B2025_00012,2025-01-01,Baseline_2025_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,40,33,4,0,5,2,1,0,2,1,4,,49.8,4.7,0,0,HIS_A,
B2025_00013,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,33,33,29,14,6,2,4,30,0,2,8,5,106.0,68.8,4.0,3,2,Manual_CSV,
B2025_00014,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,21,21,20,1,7,2,3,0,0,0,8,6,47.1,29.3,3.9,0,0,BedBoard,
B2025_00015,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,67,67,61,13,16,0,3,2,0,2,9,2,65.7,49.5,5.5,0,5,HIS_A,
B2025_00016,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,44,39,7,4,0,1,2,12,2,10,4,70.5,49.4,4.6,0,0,HIS_B,
B2025_00017,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,31,23,5,11,0,0,1,0,0,5,2,34.9,28.3,7.1,0,2,HIS_B,
B2025_00018,2025-01-01,Baseline_2025_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,37,28,0,7,2,3,0,0,0,5,1,30.2,25.4,4.9,0,2,HIS_B,
B2025_00019,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Emergency,42,41,,16,17,5,1,21,0,0,9,5,115.0,95.2,6.2,4,2,BedBoard,
B2025_00020,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,ICU,30,29,31,8,17,2,3,3,0,0,13,3,63.5,45.2,4.6,0,2,BedBoard,
B2025_00021,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,General Medicine,76,76,82,12,8,4,4,0,0,0,11,4,66.9,44.6,4.8,0,5,BedBoard,
B2025_00022,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgery,54,54,52,4,1,1,0,2,18,2,11,2,73.7,50.7,3.2,0,3,HIS_A,
B2025_00023,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Pediatrics,40,39,30,5,8,2,0,2,0,0,3,3,55.6,41.1,6.4,0,1,HIS_A,
B2025_00024,2025-01-01,Baseline_2025_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,44,35,6,8,0,0,0,0,0,6,3,27.5,20.7,5.0,0,1,Manual_CSV,
B2025_00025,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,40,40,36,14,19,1,1,23,0,0,6,3,101.2,69.4,4.7,3,1,HIS_A,
B2025_00026,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Intensive Care,28,27,28,7,6,1,3,1,0,0,15,6,58.8,46.3,6.7,0,1,BedBoard,
B2025_00027,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,74,74,77,7,10,0,1,0,0,0,14,6,77.0,60.3,4.7,0,3,HIS_A,
B2025_00028,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,51,43,4,6,1,2,3,12,2,6,6,58.8,42.4,7.9,0,3,HIS_A,
B2025_00029,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,38,33,5,5,0,2,0,0,0,8,4,46.1,36.3,4.5,0,2,HIS_A,
B2025_00030,2025-01-02,Baseline_2025_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,43,38,0,0,1,0,0,0,2,3,1,50.2,34.8,6.9,0,2,HIS_A,
