record_id,date,period,hospital_id,hospital_name,region,department,total_beds,operational_beds,occupied_beds_morning,admissions,discharges,transfers_in,transfers_out,emergency_arrivals,elective_surgeries,cancellations,staff_nurses,staff_doctors,avg_wait_time_min,median_wait_time_min,bed_turnover_time_hr,patients_left_without_seen,isolation_beds_used,source_system,notes
C2026_00001,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,42,41,13,12,1,0,27,0,1,11,6,104.8,73.2,6.0,3,2,HIS_B,
C2026_00002,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,30,29,1,4,1,4,0,0,1,9,4,62.0,52.4,3.7,0,0,Manual_CSV,
C2026_00003,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,76,75,71,14,18,3,2,3,0,1,12,4,59.0,44.5,3.1,0,2,HIS_A,
C2026_00004,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,51,50,5,9,4,2,1,7,0,10,5,93.5,60.6,6.8,0,4,Manual_CSV,
C2026_00005,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,38,29,8,12,0,3,2,0,0,2,1,66.6,54.4,4.4,0,0,HIS_A,
C2026_00006,2026-01-01,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,39,3,2,4,1,2,0,1,5,4,51.6,33.2,1.6,0,0,HIS_A,
C2026_00007,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,37,32,10,8,2,4,32,0,0,9,5,99.1,78.9,5.1,1,2,HIS_B,
C2026_00008,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,25,26,1,0,2,3,0,0,0,8,4,55.8,46.5,4.2,0,1,HIS_A,
C2026_00009,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Medical Ward,72,71,63,12,10,2,2,4,0,1,8,4,53.9,43.4,3.7,0,4,BedBoard,
C2026_00010,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,47,40,5,6,2,2,4,17,1,9,4,66.0,47.7,6.6,0,3,HIS_A,
C2026_00011,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,33,24,3,0,1,5,3,0,1,3,2,53.5,37.4,5.8,0,1,Manual_CSV,
C2026_00012,2026-01-01,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,39,34,2,2,3,3,0,0,0,,2,53.4,44.2,5.2,0,2,HIS_A,
C2026_00013,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,33,29,9,9,5,6,23,0,0,10,6,99.6,77.5,3.4,1,1,BedBoard,
C2026_00014,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,23,22,21,4,4,1,3,5,0,0,12,2,56.8,45.2,4.9,0,1,HIS_B,
C2026_00015,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,69,68,55,15,,2,4,1,0,1,7,4,45.7,38.7,4.2,0,5,HIS_B,
C2026_00016,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,43,40,4,3,3,2,1,8,2,8,3,80.8,55.3,4.2,0,1,HIS_A,
C2026_00017,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,29,23,3,0,0,2,2,0,0,1,2,37.9,27.1,4.2,0,1,HIS_B,
C2026_00018,2026-01-01,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,36,31,3,0,0,3,2,0,0,6,4,63.3,41.5,4.7,0,1,Manual_CSV,
C2026_00019,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Emergency,44,44,46,15,25,4,1,43,0,1,16,6,89.2,59.2,5.6,5,1,Manual_CSV,
C2026_00020,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,ICU,32,31,33,4,1,2,1,0,0,0,17,3,71.5,47.8,4.9,0,1,Manual_CSV,
C2026_00021,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,General Medicine,78,78,80,11,15,2,3,0,0,0,13,6,52.4,37.4,6.7,0,6,Manual_CSV,
C2026_00022,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Surgery,54,54,51,10,8,2,2,0,11,3,7,3,88.3,72.8,5.9,0,1,Manual_CSV,
C2026_00023,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Pediatrics,40,38,32,10,6,4,2,3,0,0,5,4,44.0,31.5,3.9,0,2,HIS_A,
C2026_00024,2026-01-01,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Maternity,46,46,39,9,12,0,4,2,0,0,8,2,43.5,31.2,3.4,0,2,HIS_A,
C2026_00025,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Emergency,42,42,42,16,20,2,3,40,0,0,13,7,97.5,82.4,4.6,5,1,HIS_A,
C2026_00026,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,ICU,30,29,31,7,8,1,2,4,0,0,16,7,92.7,62.8,8.6,0,2,HIS_A,
C2026_00027,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,General Medicine,76,75,73,13,13,5,5,2,0,0,10,5,57.6,47.0,5.2,0,2,Manual_CSV,
C2026_00028,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Surgery,52,52,45,5,8,2,3,2,9,0,7,4,76.0,63.6,5.1,0,0,Manual_CSV,
C2026_00029,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Pediatrics,38,37,29,6,6,2,3,0,0,0,2,3,57.1,37.2,3.1,0,2,HIS_A,
C2026_00030,2026-01-02,Comparison_2026_Jan_Apr,HOSP_A,CityCare General Hospital,North,Maternity,44,44,39,6,6,2,1,3,0,0,8,1,65.1,45.8,2.8,0,3,BedBoard,
C2026_00031,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Emergency,38,37,34,11,20,5,1,30,0,0,9,6,101.7,83.0,6.6,2,3,HIS_A,
C2026_00032,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,ICU,26,25,25,1,0,3,2,2,0,0,10,5,52.0,32.5,4.4,0,1,BedBoard,
C2026_00033,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,General Medicine,72,72,67,21,26,1,1,1,0,1,10,3,49.9,42.5,2.8,0,1,BedBoard,
C2026_00034,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Surgery,48,48,42,6,9,2,1,2,9,1,5,4,90.7,75.5,6.4,0,1,Manual_CSV,
C2026_00035,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Pediatrics,34,34,27,2,5,4,4,0,0,0,7,4,40.3,34.7,7.5,0,1,Manual_CSV,
C2026_00036,2026-01-02,Comparison_2026_Jan_Apr,HOSP_B,Lakeside Medical Center,South,Maternity,40,40,32,7,8,1,1,5,0,1,6,3,32.0,21.3,3.5,0,3,BedBoard,
C2026_00037,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Emergency,35,35,29,9,12,0,3,39,0,0,8,6,79.7,53.0,3.5,2,2,HIS_B,
C2026_00038,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,ICU,23,23,21,2,5,3,5,0,0,0,10,4,60.7,48.3,4.0,0,1,HIS_A,
C2026_00039,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,General Medicine,69,68,60,16,19,1,0,5,0,0,10,5,51.5,33.1,6.4,0,3,BedBoard,
C2026_00040,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Surgery,45,41,32,6,6,6,0,0,10,1,5,5,48.4,33.9,4.7,0,2,HIS_B,
C2026_00041,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Pediatrics,31,31,21,7,0,4,3,1,0,0,5,3,30.7,24.7,3.6,0,1,Manual_CSV,
C2026_00042,2026-01-02,Comparison_2026_Jan_Apr,HOSP_C,Greenfield District Hospital,East,Maternity,37,37,29,5,9,4,2,0,0,0,1,1,74.7,57.8,3.6,0,2,HIS_B,
C2026_00043,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,Emergency,44,43,38,10,9,5,2,34,0,0,13,3,91.7,58.2,4.6,2,2,HIS_A,
C2026_00044,2026-01-02,Comparison_2026_Jan_Apr,HOSP_D,Metro Trauma Institute,West,ICU,32,31,31,5,3,0,2,3,0,0,13,4,49.0,35.8,5.1,0,2,HIS_A,
